
All device pins and their pinmux options

Pin,Name,Selected Mode,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
E18,GPIO114,,PR0_PRU1_GPIO15,,RMII1_TX_EN,RGMII1_TX_CTL,MII1_TX_EN,,,GPIO114,TRC_DATA11,,,,,,,
B20,GPIO113,,PR0_PRU1_GPIO16,,,RGMII1_TXC,MII1_TXCLK,,,GPIO113,TRC_DATA10,,,,,,,
N12,VSS_N12,,,,,,,,,,,,,,,,,
C19,GPIO120,,PR0_PRU1_GPIO18,,UART3_TXD,PR0_IEP0_EDIO_DATA_IN_OUT31,,,GPMC0_A17,GPIO120,TRC_CTL,EQEP1_B,XBAROUT14,,,,,
C18,GPIO119,,PR0_PRU1_GPIO19,,UART3_RXD,PR0_IEP0_EDC_SYNC_OUT0,,,GPMC0_A19,GPIO119,TRC_CLK,EQEP1_A,XBAROUT13,,,,,
B19,GPIO122,,CLKOUT1,PR1_PRU0_GPIO7,UART2_RTSn,,PR1_UART0_CTSn,,GPMC0_A5,GPIO122,SDFM0_CLK0,EQEP1_STROBE,,,,,,
A19,GPIO124,,PR0_PRU1_GPIO7,CPTS0_TS_SYNC,PR1_PRU0_GPIO10,PR0_IEP0_EDC_SYNC_OUT1,PR1_UART0_RXD,,GPMC0_A8,GPIO124,SDFM0_CLK1,SDFM1_D0,UART2_TXD,UART5_RTSn,,,,
B18,GPIO128,,SPI2_D1,PR1_PRU1_GPIO14,,,,UART5_RXD,GPMC0_AD14,GPIO128,SDFM0_CLK3,SDFM1_D2,CHANNEL9,,,,,
A18,GPIO126,,UART1_CTSn,PR1_MDIO0_MDIO,SPI2_CS1,PR1_IEP0_EDC_SYNC_OUT1,UART5_CTSn,UART5_TXD,GPMC0_CLKLB,GPIO126,SDFM0_CLK2,SDFM1_D1,CHANNEL8,,,,,
C16,GPIO123,,PR0_ECAP0_APWM_OUT,PR1_PRU1_GPIO10,UART2_CTSn,PR1_ECAP0_APWM_OUT,PR1_UART0_RTSn,,GPMC0_AD10,GPIO123,SDFM0_D0,,,,,,,
B17,GPIO125,,PR0_PRU1_GPIO17,PR1_PRU1_GPIO13,UART2_RXD,PR0_IEP0_EDIO_DATA_IN_OUT30,PR1_UART0_TXD,UART5_CTSn,GPMC0_AD13,GPIO125,SDFM0_D1,,,,,,,
A17,GPIO127,,UART2_CTSn,PR1_MDIO0_MDC,SPI3_CS1,,,UART5_RXD,GPMC0_BE0n_CLE,GPIO127,SDFM0_D2,,CHANNEL0,,,,,
D17,GPIO129,,SPI2_CLK,PR1_PRU1_GPIO17,,,,UART5_TXD,GPMC0_WEn,GPIO129,SDFM0_D3,,CHANNEL1,,,,,
M12,VSS_M12,,,,,,,,,,,,,,,,,
L12,VSS_L12,,,,,,,,,,,,,,,,,
A16,GPIO130,,SPI2_D0,PR1_PRU1_GPIO18,UART4_RTSn,PR1_IEP0_EDC_SYNC_OUT0,I2C1_SDA,MCAN1_RX,GPMC0_OEn_REn,GPIO130,EQEP0_A,SDFM1_CLK0,,,,,,
B16,GPIO131,,SPI2_CS0,PR1_PRU0_GPIO19,UART4_CTSn,PR1_IEP0_EDIO_DATA_IN_OUT31,I2C1_SCL,MCAN1_TX,GPMC0_CSn0,GPIO131,EQEP0_B,SDFM1_D0,,,,,,
C14,GPIO132,,I2C2_SDA,PR1_PRU0_GPIO20,UART4_TXD,PR1_IEP0_EDIO_DATA_IN_OUT30,,,GPMC0_A15,GPIO132,EQEP0_STROBE,SDFM1_CLK1,CHANNEL2,,,,,
D15,GPIO133,,I2C2_SCL,PR1_PRU1_GPIO7,UART4_RXD,,,,GPMC0_AD7,GPIO133,EQEP0_INDEX,SDFM1_D1,CHANNEL3,,,,,
A15,GPIO135,I2C0_SCL,I2C0_SCL,,,,,,,GPIO135,,SDFM1_CLK3,,,,,,
B15,GPIO134,I2C0_SDA,I2C0_SDA,,,,,,,GPIO134,,SDFM1_CLK2,,,,,,
B14,GPIO136,,UART1_RTSn,SPI0_CS1,LIN0_RXD,UART3_RXD,,,,GPIO136,,SDFM1_D2,,,,,,
A14,GPIO137,,UART2_RTSn,EQEP1_INDEX,LIN0_TXD,UART3_TXD,,,,GPIO137,,SDFM1_D3,,,,,,
A13,GPIO12,,SPI0_CLK,PR1_PRU0_GPIO9,MMC_CMD,UART3_TXD,,FSITX0_CLK,GPMC0_A7,GPIO12,,CHANNEL1,XBAROUT1,,,,,
B13,GPIO11,,SPI0_CS0,PR1_PRU0_GPIO2,MMC_CLK,UART3_RXD,,,GPMC0_A0,GPIO11,,CHANNEL0,XBAROUT0,,,,,
B12,GPIO13,,SPI0_D0,PR1_PRU0_GPIO0,MMC_DAT0,UART3_CTSn,,FSITX0_D0,GPMC0_A16,GPIO13,,CHANNEL2,XBAROUT2,,,,,
C12,GPIO14,,SPI0_D1,PR1_PRU0_GPIO1,MMC_DAT1,UART3_RTSn,,FSITX0_D1,GPMC0_BE1n,GPIO14,,CHANNEL3,XBAROUT3,,,,,
K12,VSS_K12,,,,,,,,,,,,,,,,,
J12,VSS_J12,,,,,,,,,,,,,,,,,
A12,GPIO16,,SPI1_CLK,EPWM7_B,MMC_DAT3,UART4_RXD,,PR1_PRU1_GPIO3,FSIRX0_CLK,GPIO16,GPMC0_OEn_REn,CHANNEL5,XBAROUT2,,,,,
D11,GPIO15,,SPI1_CS0,EPWM7_A,MMC_DAT2,UART4_TXD,,PR1_PRU1_GPIO4,,GPIO15,GPMC0_WAIT0,CHANNEL4,XBAROUT1,,,,,
